modelo cargado: steps=12000 vocab=2048
b2: modelo+corpus+buffers OK (train=30523204 val=30523204)
PPL inicial: 10.11
== step 1/8000  loss=2.3450  PPL=10.79  (66s) ==
step 555/8000  loss=1.8217
step 556/8000  loss=1.8151
step 557/8000  loss=1.7797
step 558/8000  loss=1.7396
step 559/8000  loss=1.7749
step 560/8000  loss=1.7813
step 561/8000  loss=1.8606
step 562/8000  loss=1.6409
step 563/8000  loss=1.7525
step 564/8000  loss=1.7492
step 565/8000  loss=1.7246
step 566/8000  loss=1.7509
step 567/8000  loss=1.7284
step 568/8000  loss=1.8084
step 569/8000  loss=1.7300
step 570/8000  loss=1.7466
step 571/8000  loss=1.6771
step 572/8000  loss=1.9159
step 573/8000  loss=1.7189
step 574/8000  loss=1.6630
step 575/8000  loss=1.7264
step 576/8000  loss=1.6888
step 577/8000  loss=1.7016
step 578/8000  loss=1.7231
step 579/8000  loss=1.7151
step 580/8000  loss=1.7661
step 581/8000  loss=1.7079
step 582/8000  loss=1.7305
step 583/8000  loss=1.7691
step 584/8000  loss=1.8702
step 585/8000  loss=1.8199
step 586/8000  loss=1.6650
step 587/8000  loss=1.6968
step 588/8000  loss=1.7927
step 589/8000  loss=1.7154
step 590/8000  loss=1.7971
step 591/8000  loss=1.6954
step 592/8000  loss=1.7567
step 593/8000  loss=1.6769
step 594/8000  loss=1.7875
step 595/8000  loss=1.8270
step 596/8000  loss=1.8311
step 597/8000  loss=1.7010
step 598/8000  loss=1.7714
step 599/8000  loss=1.7317
step 600/8000  loss=1.7231
step 601/8000  loss=1.6318
step 602/8000  loss=1.8024
step 603/8000  loss=1.7248
step 604/8000  loss=1.8004
step 605/8000  loss=1.6166
step 606/8000  loss=1.7522
step 607/8000  loss=1.5927
step 608/8000  loss=1.8013
step 609/8000  loss=1.6643
step 610/8000  loss=1.7543
step 611/8000  loss=1.6590
step 612/8000  loss=1.7037
step 613/8000  loss=1.7073
step 614/8000  loss=1.7499
step 615/8000  loss=1.7880
step 616/8000  loss=1.8237
step 617/8000  loss=1.7804
step 618/8000  loss=1.8892
step 619/8000  loss=1.6592
step 620/8000  loss=1.6741
step 621/8000  loss=1.7402
step 622/8000  loss=1.7225
step 623/8000  loss=1.7926
step 624/8000  loss=1.7652
step 625/8000  loss=1.7236
step 626/8000  loss=1.7471
step 627/8000  loss=1.6651
step 628/8000  loss=1.6880
step 629/8000  loss=1.7084
step 630/8000  loss=1.8547
step 631/8000  loss=1.7514
step 632/8000  loss=1.7394
step 633/8000  loss=1.7231
step 634/8000  loss=1.6444
step 635/8000  loss=1.7034
step 636/8000  loss=1.7604
step 637/8000  loss=1.7749
step 638/8000  loss=1.7107
step 639/8000  loss=1.7398
step 640/8000  loss=1.7132
step 641/8000  loss=1.8136
step 642/8000  loss=1.6878
step 643/8000  loss=1.7090
step 644/8000  loss=1.7273
step 645/8000  loss=1.7260
step 646/8000  loss=1.7368
step 647/8000  loss=1.7608
step 648/8000  loss=1.6766
step 649/8000  loss=1.7820
step 650/8000  loss=1.7547
step 651/8000  loss=1.7813
step 652/8000  loss=1.7487
step 653/8000  loss=1.6709
step 654/8000  loss=1.7575
step 655/8000  loss=1.8090
step 656/8000  loss=1.8337
step 657/8000  loss=1.7784
step 658/8000  loss=1.8071
step 659/8000  loss=1.7515
step 660/8000  loss=1.7651
step 661/8000  loss=1.8090
step 662/8000  loss=1.7372
